txn_id,customer_id,txn_type,invoice_number,txn_date,due_date,amount,applied_to_invoice,currency,status
TXN-000176,CUST-013,invoice,INV-100108,2025-10-01,2025-11-15,6124.73,,USD,open
TXN-000252,CUST-018,invoice,INV-100155,2025-10-02,2025-11-01,7513.29,,USD,open
TXN-000293,CUST-021,invoice,INV-100180,2025-10-02,2025-11-16,12557.76,,USD,open
TXN-000355,CUST-025,invoice,INV-100217,2025-10-03,2025-12-02,7139.6,,USD,open
TXN-000080,CUST-006,invoice,INV-100046,2025-10-04,2025-10-19,14852.03,,USD,open
TXN-000045,CUST-004,invoice,INV-100027,2025-10-05,2025-11-19,35754.86,,USD,open
TXN-000001,CUST-001,invoice,INV-100001,2025-10-06,2025-11-20,14674.02,,USD,open
TXN-000018,CUST-002,invoice,INV-100011,2025-10-08,2025-12-07,14343.39,,USD,open
TXN-000239,CUST-017,invoice,INV-100148,2025-10-10,2025-11-24,70313.8,,USD,open
TXN-000301,CUST-022,invoice,INV-100185,2025-10-12,2025-11-26,9270.32,,USD,open
TXN-000367,CUST-026,invoice,INV-100224,2025-10-12,2025-12-11,4198.01,,USD,open
TXN-000286,CUST-020,invoice,INV-100175,2025-10-14,2025-11-13,8538.56,,USD,open
TXN-000041,CUST-004,invoice,INV-100025,2025-10-14,2025-11-28,11495.88,,USD,open
TXN-000081,CUST-006,payment,,2025-10-15,,-14852.03,INV-100046,USD,applied
TXN-000260,CUST-018,invoice,INV-100160,2025-10-15,2025-11-14,12542.81,,USD,open
TXN-000165,CUST-012,invoice,INV-100102,2025-10-16,2025-11-30,58630.92,,USD,open
TXN-000409,CUST-030,invoice,INV-100250,2025-10-17,2025-11-16,8745.94,,USD,open
TXN-000208,CUST-015,invoice,INV-100128,2025-10-18,2025-12-02,17339.97,,USD,open
TXN-000311,CUST-022,invoice,INV-100190,2025-10-18,2025-12-02,14180.2,,USD,open
TXN-000351,CUST-025,invoice,INV-100214,2025-10-21,2025-12-20,10325.23,,USD,open
TXN-000011,CUST-001,invoice,INV-100006,2025-10-21,2025-12-05,12364.18,,USD,open
TXN-000402,CUST-029,invoice,INV-100245,2025-10-22,2025-12-21,19662.56,,USD,open
TXN-000390,CUST-028,invoice,INV-100238,2025-10-22,2025-11-06,14574.63,,USD,open
TXN-000074,CUST-006,invoice,INV-100043,2025-10-23,2025-11-07,11950.69,,USD,open
TXN-000199,CUST-014,invoice,INV-100122,2025-10-23,2025-11-22,16343.61,,USD,open
TXN-000128,CUST-010,invoice,INV-100079,2025-10-26,2025-11-25,5426.24,,USD,open
TXN-000284,CUST-020,invoice,INV-100174,2025-10-29,2025-11-28,3474.53,,USD,open
TXN-000039,CUST-004,invoice,INV-100024,2025-10-29,2025-12-13,4795.91,,USD,open
TXN-000002,CUST-001,payment,,2025-10-29,,-14674.02,INV-100001,USD,applied
TXN-000315,CUST-023,invoice,INV-100192,2025-10-30,2025-12-29,19356.4,,USD,open
TXN-000365,CUST-026,invoice,INV-100223,2025-10-30,2025-12-29,7068.64,,USD,open
TXN-000371,CUST-027,invoice,INV-100226,2025-10-31,2025-12-30,41376.61,,USD,open
TXN-000249,CUST-018,invoice,INV-100153,2025-10-31,2025-11-30,9231.49,,USD,open
TXN-000021,CUST-002,invoice,INV-100013,2025-11-01,2025-12-31,8383.52,,USD,open
TXN-000420,CUST-030,invoice,INV-100257,2025-11-02,2025-12-02,11762.53,,USD,open
TXN-000024,CUST-002,invoice,INV-100015,2025-11-02,2026-01-01,8203.79,,USD,open
TXN-000009,CUST-001,invoice,INV-100005,2025-11-03,2025-12-18,77859.2,,USD,open
TXN-000201,CUST-015,invoice,INV-100123,2025-11-03,2025-12-18,16709.54,,USD,open
TXN-000069,CUST-005,invoice,INV-100040,2025-11-04,2025-11-19,3369.09,,USD,open
TXN-000270,CUST-019,invoice,INV-100166,2025-11-04,2025-11-19,5566.73,,USD,open
TXN-000110,CUST-009,invoice,INV-100068,2025-11-06,2026-01-05,15116.82,,USD,open
TXN-000391,CUST-028,payment,,2025-11-06,,-14574.63,INV-100238,USD,applied
TXN-000193,CUST-014,invoice,INV-100118,2025-11-07,2025-12-07,10219.91,,USD,open
