customer_id,customer_name,current,1-30,31-60,61-90,90+,total
CUST-001,Harborview Fabrication Corp.,0.0,0.0,0.0,0.0,112750.42,112750.42
CUST-002,Bristlecone Logistics LLC,0.0,0.0,0.0,2798.67,31364.84,34163.51
CUST-003,Meridian Office Supply Co.,30981.66,0.0,0.0,0.0,23378.26,54359.92
CUST-004,Falcon Ridge Industrial Inc.,3589.81,0.0,0.0,0.0,5416.63,9006.44
CUST-005,Cobalt Point Distributors Corp.,26749.82,0.0,0.0,0.0,3442.02,30191.84
CUST-006,Amberlane Freight Inc.,0.0,4584.76,0.0,0.0,40433.86,45018.62
CUST-007,Northwind Packaging Corp.,30217.35,6240.76,10967.11,11378.92,30911.25,89715.39
CUST-008,Silverton Hardware LLC,0.0,38404.91,0.0,0.0,9502.84,47907.75
CUST-009,Cedar Hollow Electrical Co.,22538.35,0.0,0.0,12270.67,102616.22,137425.24
CUST-010,Bluepeak Machine Works Inc.,0.0,0.0,0.0,0.0,33655.04,33655.04
CUST-011,Ironvale Sheet Metal Co.,6301.19,29075.54,52126.07,0.0,0.0,87502.8
CUST-012,Windmere Textiles Co.,82208.69,3228.2,757.41,6713.4,67192.39,160100.09
CUST-013,Granite Bay Wholesale Inc.,0.0,3804.76,16403.57,3441.7,40136.02,63786.05
CUST-014,Copper Creek Supply Co.,0.0,0.0,6499.46,0.0,22570.68,29070.14
CUST-015,Fairview Print & Signage Co.,18641.9,0.0,14577.0,0.0,50577.39,83796.29
CUST-016,Redstone Contract Furnishings LLC,0.0,13143.08,0.0,52238.41,35038.11,100419.6
CUST-017,Larkspur Foodservice Equipment Inc.,92397.67,0.0,0.0,0.0,37309.26,129706.93
CUST-018,Thornbury Plastics Co.,0.0,0.0,6594.13,13314.01,42996.64,62904.78
CUST-019,Ashgrove Building Materials Inc.,0.0,22813.76,9576.15,19007.5,37082.53,88479.94
CUST-020,Wrenfield Tooling Co.,0.0,4927.32,0.0,0.0,18774.77,23702.09
CUST-021,Maple Ledge Distribution Inc.,7080.99,17224.73,5947.48,8085.88,2827.19,41166.27
CUST-022,Stonebriar Industrial Parts Corp.,0.0,4597.91,0.0,0.0,0.0,4597.91
CUST-023,Quarrystone Logistics Co.,79622.17,0.0,0.0,37785.9,20835.62,138243.69
CUST-024,Hollowbrook Packaging LLC,0.0,6455.61,1631.33,4826.01,6935.28,19848.23
CUST-025,Elmsworth Wholesale Co.,0.0,4710.98,241.1,0.0,116709.15,121661.23
CUST-026,Pinecrest Supply Chain Inc.,9603.48,0.0,0.0,0.0,41343.4,50946.88
CUST-027,Rustwood Fasteners Co.,30420.66,0.0,0.0,0.0,55814.24,86234.9
CUST-028,Briarcliff Textiles LLC,0.0,3557.3,15034.34,0.0,23770.88,42362.52
CUST-029,Oakmere Distributors LLC,24207.4,0.0,0.0,13680.82,38145.73,76033.95
CUST-030,Sablefield Equipment Rental Co.,6578.45,13400.37,0.0,618.67,33529.48,54126.97
CUST-031,Boundary Thirty LLC,0.0,12000.0,0.0,0.0,0.0,12000.0
CUST-032,Boundary Sixty LLC,0.0,0.0,8400.0,0.0,0.0,8400.0
CUST-033,Boundary Ninety Inc.,0.0,0.0,0.0,15250.0,0.0,15250.0
CUST-034,Partial Pay Industries Co.,0.0,0.0,3500.0,0.0,0.0,3500.0
CUST-035,Multi-Invoice Payers Corp.,0.0,0.0,5000.0,0.0,0.0,5000.0
CUST-036,Overpaid Credit Corp.,0.0,-1000.0,0.0,0.0,0.0,-1000.0
CUST-037,Unapplied Cash Ventures Corp.,0.0,-2500.0,0.0,0.0,15000.0,12500.0
CUST-038,Fully Settled Supply LLC,0.0,0.0,0.0,0.0,0.0,0.0
CUST-039,Future Dated Freight Corp.,0.0,4200.0,0.0,0.0,0.0,4200.0
CUST-040,Net Credit Holdings LLC,0.0,-5000.0,0.0,0.0,0.0,-5000.0
